/"OreDict Key","ItemStacks"
"prismarine","[minecraft:prismarine@32767 - '(WILDCARD)' - <no NBT>]"
"pureDustEndLumium","[contenttweaker:material_part@457 - 'Pure End Lumium Dust' - <no NBT>]"
"pureDustLumium","[contenttweaker:material_part@423 - 'Pure Lumium Dust' - <no NBT>]"
"pureDustNetherLumium","[contenttweaker:material_part@440 - 'Pure Nether Lumium Dust' - <no NBT>]"
"rail","[minecraft:rail@0 - 'Rail' - <no NBT>]; [minecraft:activator_rail@0 - 'Activator Rail' - <no NBT>]; [minecraft:detector_rail@0 - 'Detector Rail' - <no NBT>]; [minecraft:golden_rail@0 - 'Powered Rail' - <no NBT>]"
"railIron","[contenttweaker:material_part@25 - 'Iron Rail' - <no NBT>]"
"railLumium","[contenttweaker:material_part@757 - 'Lumium Rail' - <no NBT>]"
"rawOreEndLumium","[contenttweaker:material_part@458 - 'Raw End Lumium Ore' - <no NBT>]"
"rawOreLumium","[contenttweaker:material_part@424 - 'Raw Lumium Ore' - <no NBT>]"
"rawOreNetherLumium","[contenttweaker:material_part@441 - 'Raw Nether Lumium Ore' - <no NBT>]"
"rawhide","[leatherworks:rawhide_cow@0 - 'Cow Hide' - <no NBT>]; [leatherworks:rawhide_donkey@0 - 'Donkey Pelt' - <no NBT>]; [leatherworks:rawhide_horse@0 - 'Horse Hide' - <no NBT>]; [leatherworks:rawhide_llama@0 - 'Llama Hide' - <no NBT>]; [leatherworks:rawhide_mooshroom@0 - 'Mooshroom Hide' - <no NBT>]; [leatherworks:rawhide_mule@0 - 'Mule Pelt' - <no NBT>]; [leatherworks:rawhide_pig@0 - 'Pig Skin' - <no NBT>]; [leatherworks:rawhide_polarbear@0 - 'Polar Bear Hide' - <no NBT>]; [leatherworks:rawhide_wolf@0 - 'Wolf Pelt' - <no NBT>]; [leatherworks:rawhide_deer@0 - 'Deer Hide' - <no NBT>]; [leatherworks:rawhide_boar@0 - 'Wild Boar Hide' - <no NBT>]"
"record","[minecraft:record_13@0 - 'Music Disc' - <no NBT>]; [minecraft:record_cat@0 - 'Music Disc' - <no NBT>]; [minecraft:record_blocks@0 - 'Music Disc' - <no NBT>]; [minecraft:record_chirp@0 - 'Music Disc' - <no NBT>]; [minecraft:record_far@0 - 'Music Disc' - <no NBT>]; [minecraft:record_mall@0 - 'Music Disc' - <no NBT>]; [minecraft:record_mellohi@0 - 'Music Disc' - <no NBT>]; [minecraft:record_stal@0 - 'Music Disc' - <no NBT>]; [minecraft:record_strad@0 - 'Music Disc' - <no NBT>]; [minecraft:record_ward@0 - 'Music Disc' - <no NBT>]; [minecraft:record_11@0 - 'Music Disc' - <no NBT>]; [minecraft:record_wait@0 - 'Music Disc' - <no NBT>]; [biomesoplenty:record_wanderer@0 - 'Music Disc' - <no NBT>]"
"resourceHide","[leatherworks:rawhide_cow@0 - 'Cow Hide' - <no NBT>]; [leatherworks:rawhide_donkey@0 - 'Donkey Pelt' - <no NBT>]; [leatherworks:rawhide_horse@0 - 'Horse Hide' - <no NBT>]; [leatherworks:rawhide_llama@0 - 'Llama Hide' - <no NBT>]; [leatherworks:rawhide_mooshroom@0 - 'Mooshroom Hide' - <no NBT>]; [leatherworks:rawhide_mule@0 - 'Mule Pelt' - <no NBT>]; [leatherworks:rawhide_pig@0 - 'Pig Skin' - <no NBT>]; [leatherworks:rawhide_polarbear@0 - 'Polar Bear Hide' - <no NBT>]; [leatherworks:rawhide_wolf@0 - 'Wolf Pelt' - <no NBT>]; [leatherworks:rawhide_deer@0 - 'Deer Hide' - <no NBT>]; [leatherworks:rawhide_boar@0 - 'Wild Boar Hide' - <no NBT>]"
"ringIron","[contenttweaker:material_part@19 - 'Iron Ring' - <no NBT>]"
"ringLumium","[contenttweaker:material_part@751 - 'Lumium Ring' - <no NBT>]"
"ringPolyethylene","[contenttweaker:material_part@788 - 'Polyethylene Ring' - <no NBT>]"
"ringRubber","[contenttweaker:material_part@804 - 'Rubber Ring' - <no NBT>]"
"rockEndLumium","[contenttweaker:material_part@447 - 'End Lumium Ore Rock' - <no NBT>]; [contenttweaker:material_part@446 - 'End Lumium Rock' - <no NBT>]"
"rockLumium","[contenttweaker:material_part@412 - 'Lumium Rock' - <no NBT>]; [contenttweaker:material_part@413 - 'Lumium Ore Rock' - <no NBT>]"
"rockNetherLumium","[contenttweaker:material_part@429 - 'Nether Lumium Rock' - <no NBT>]; [contenttweaker:material_part@430 - 'Nether Lumium Ore Rock' - <no NBT>]"
"rocks","[pvj:andesite_rocks@0 - 'Andesite Rocks' - <no NBT>]; [pvj:diorite_rocks@0 - 'Diorite Rocks' - <no NBT>]; [pvj:granite_rocks@0 - 'Granite Rocks' - <no NBT>]; [pvj:stone_rocks@0 - 'Stone Rocks' - <no NBT>]; [pvj:cobblestone_rocks@0 - 'Cobblestone Rocks' - <no NBT>]; [pvj:sandstone_rocks@0 - 'Sandstone Rocks' - <no NBT>]; [pvj:red_sandstone_rocks@0 - 'Red Sandstone Rocks' - <no NBT>]; [pvj:mossy_cobblestone_rocks@0 - 'Mossy Cobblestone Rocks' - <no NBT>]"
"rodBlaze","[minecraft:blaze_rod@0 - 'Blaze Rod' - <no NBT>]"
"rodIron","[contenttweaker:material_part@10 - 'Iron Rod' - <no NBT>]"
"rodLongIron","[contenttweaker:material_part@11 - 'Long Iron Rod' - <no NBT>]"
"rodLongLumium","[contenttweaker:material_part@743 - 'Long Lumium Rod' - <no NBT>]"
"rodLongPolyethylene","[contenttweaker:material_part@782 - 'Long Polyethylene Rod' - <no NBT>]"
"rodLumium","[contenttweaker:material_part@742 - 'Lumium Rod' - <no NBT>]"
"rodPolyethylene","[contenttweaker:material_part@781 - 'Polyethylene Rod' - <no NBT>]"
"rodStone","[tconstruct:stone_stick@32767 - '(WILDCARD)' - <no NBT>]"
"rotorIron","[contenttweaker:material_part@33 - 'Iron Rotor' - <no NBT>]"
"rotorLumium","[contenttweaker:material_part@765 - 'Lumium Rotor' - <no NBT>]"
"roundIron","[contenttweaker:material_part@17 - 'Iron Round' - <no NBT>]"
"roundLumium","[contenttweaker:material_part@749 - 'Lumium Round' - <no NBT>]"
"roundPolyethylene","[contenttweaker:material_part@786 - 'Polyethylene Round' - <no NBT>]"
"roundRubber","[contenttweaker:material_part@803 - 'Rubber Round' - <no NBT>]"
"salmonRaw","[minecraft:fish@0 - 'Raw Fish' - <no NBT>]"
"sand","[minecraft:sand@32767 - '(WILDCARD)' - <no NBT>]; [biomesoplenty:white_sand@0 - 'White Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@0 - 'Granite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@0 - 'Gneiss Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@0 - 'Limestone Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@1 - 'Diabase Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@1 - 'Eclogite Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@1 - 'Chalk Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@2 - 'Rhyolite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@2 - 'Marble Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@2 - 'Shale Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@3 - 'Andesite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@3 - 'Quartzite Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@3 - 'Siltstone Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@4 - 'Gabbro Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@4 - 'Hornfels Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@4 - 'Conglomerate Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@5 - 'Kimberlite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@5 - 'Schist Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@5 - 'Dolomite Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@6 - 'Komatiite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@6 - 'Soapstone Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@6 - 'Greywacke Sand' - <no NBT>]; [undergroundbiomes:igneous_sand@7 - 'Dacite Sand' - <no NBT>]; [undergroundbiomes:metamorphic_sand@7 - 'Migmatite Sand' - <no NBT>]; [undergroundbiomes:sedimentary_sand@7 - 'Chert Sand' - <no NBT>]"
"sandstone","[minecraft:sandstone@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:red_sandstone@32767 - '(WILDCARD)' - <no NBT>]; [biomesoplenty:white_sandstone@0 - 'White Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@0 - 'Granite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@0 - 'Gneiss Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@0 - 'Limestone Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@1 - 'Diabase Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@1 - 'Eclogite Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@1 - 'Chalk Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@2 - 'Rhyolite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@2 - 'Marble Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@2 - 'Shale Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@3 - 'Andesite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@3 - 'Quartzite Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@3 - 'Siltstone Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@4 - 'Gabbro Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@4 - 'Hornfels Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@4 - 'Conglomerate Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@5 - 'Kimberlite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@5 - 'Schist Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@5 - 'Dolomite Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@6 - 'Komatiite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@6 - 'Soapstone Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@6 - 'Greywacke Sandstone' - <no NBT>]; [undergroundbiomes:igneous_sandstone@7 - 'Dacite Sandstone' - <no NBT>]; [undergroundbiomes:metamorphic_sandstone@7 - 'Migmatite Sandstone' - <no NBT>]; [undergroundbiomes:sedimentary_sandstone@7 - 'Chert Sandstone' - <no NBT>]"
"sawBladeIron","[contenttweaker:material_part@32 - 'Iron Saw Blade' - <no NBT>]"
"sawBladeLumium","[contenttweaker:material_part@764 - 'Lumium Saw Blade' - <no NBT>]"
"scrapEndLumium","[contenttweaker:material_part@460 - 'End Lumium Scrap' - <no NBT>]"
"scrapLumium","[contenttweaker:material_part@426 - 'Lumium Scrap' - <no NBT>]"
"scrapNetherLumium","[contenttweaker:material_part@443 - 'Nether Lumium Scrap' - <no NBT>]"
"screwIron","[contenttweaker:material_part@16 - 'Iron Screw' - <no NBT>]"
"screwLumium","[contenttweaker:material_part@748 - 'Lumium Screw' - <no NBT>]"
"screwPolyethylene","[contenttweaker:material_part@785 - 'Polyethylene Screw' - <no NBT>]"
"seed","[minecraft:wheat_seeds@0 - 'Seeds' - <no NBT>]; [minecraft:pumpkin_seeds@0 - 'Pumpkin Seeds' - <no NBT>]; [minecraft:melon_seeds@0 - 'Melon Seeds' - <no NBT>]; [minecraft:beetroot_seeds@0 - 'Beetroot Seeds' - <no NBT>]"
"seedAgave","[harvestcraft:agaveseeditem@0 - 'Agave Seed' - <no NBT>]"
"seedAmaranth","[harvestcraft:amaranthseeditem@0 - 'Amaranth Seed' - <no NBT>]"
"seedArrowroot","[harvestcraft:arrowrootseeditem@0 - 'Arrowroot Seed' - <no NBT>]"
"seedArtichoke","[harvestcraft:artichokeseeditem@0 - 'Artichoke Seed' - <no NBT>]"
"seedAsparagus","[harvestcraft:asparagusseeditem@0 - 'Asparagus Seed' - <no NBT>]"
"seedBambooshoot","[harvestcraft:bambooshootseeditem@0 - 'Bamboo Shoot Seed' - <no NBT>]"
"seedBarley","[harvestcraft:barleyseeditem@0 - 'Barley Seed' - <no NBT>]"
"seedBean","[harvestcraft:beanseeditem@0 - 'Bean Seed' - <no NBT>]"
"seedBeet","[harvestcraft:beetseeditem@0 - 'Beet Seed' - <no NBT>]; [minecraft:beetroot_seeds@0 - 'Beetroot Seeds' - <no NBT>]"
"seedBeetroot","[minecraft:beetroot_seeds@0 - 'Beetroot Seeds' - <no NBT>]"
"seedBellpepper","[harvestcraft:bellpepperseeditem@0 - 'Bellpepper Seed' - <no NBT>]"
"seedBlackberry","[harvestcraft:blackberryseeditem@0 - 'Blackberry Seed' - <no NBT>]"
"seedBlueberry","[harvestcraft:blueberryseeditem@0 - 'Blueberry Seed' - <no NBT>]"
"seedBroccoli","[harvestcraft:broccoliseeditem@0 - 'Broccoli Seed' - <no NBT>]"
"seedBrusselsprout","[harvestcraft:brusselsproutseeditem@0 - 'Brussel Sprout Seed' - <no NBT>]"
"seedCabbage","[harvestcraft:cabbageseeditem@0 - 'Cabbage Seed' - <no NBT>]"
"seedCactusfruit","[harvestcraft:cactusfruitseeditem@0 - 'Cactus Fruit Seed' - <no NBT>]"
"seedCandleberry","[harvestcraft:candleberryseeditem@0 - 'Candleberry Seed' - <no NBT>]"
"seedCantaloupe","[harvestcraft:cantaloupeseeditem@0 - 'Cantaloupe Seed' - <no NBT>]"
"seedCassava","[harvestcraft:cassavaseeditem@0 - 'Cassava Seed' - <no NBT>]"
"seedCauliflower","[harvestcraft:cauliflowerseeditem@0 - 'Cauliflower Seed' - <no NBT>]"
"seedCelery","[harvestcraft:celeryseeditem@0 - 'Celery Seed' - <no NBT>]"
"seedChickpea","[harvestcraft:chickpeaseeditem@0 - 'Chickpea Seed' - <no NBT>]"
"seedChilipepper","[harvestcraft:chilipepperseeditem@0 - 'Chili Pepper Seed' - <no NBT>]"
"seedCoffee","[harvestcraft:coffeeseeditem@0 - 'Coffee Seed' - <no NBT>]"
"seedCorn","[xlfoodmod:corn_seeds@0 - 'Corn Seeds' - <no NBT>]; [harvestcraft:cornseeditem@0 - 'Corn Seed' - <no NBT>]"
"seedCotton","[harvestcraft:cottonseeditem@0 - 'Cotton Seed' - <no NBT>]"
"seedCranberry","[harvestcraft:cranberryseeditem@0 - 'Cranberry Seed' - <no NBT>]"
"seedCucumber","[xlfoodmod:cucumber_seeds@0 - 'Cucumber Seeds' - <no NBT>]; [harvestcraft:cucumberseeditem@0 - 'Cucumber Seed' - <no NBT>]"
"seedCurryleaf","[harvestcraft:curryleafseeditem@0 - 'Curry Leaf Seed' - <no NBT>]"
"seedEggplant","[harvestcraft:eggplantseeditem@0 - 'Eggplant Seed' - <no NBT>]"
"seedElderberry","[harvestcraft:elderberryseeditem@0 - 'Elderberry Seed' - <no NBT>]"
"seedFlax","[harvestcraft:flaxseeditem@0 - 'Flax Seed' - <no NBT>]"
"seedGarlic","[harvestcraft:garlicseeditem@0 - 'Garlic Seed' - <no NBT>]"
"seedGigapickle","[harvestcraft:gigapickleseeditem@0 - 'Giga Pickle Seed' - <no NBT>]"
"seedGinger","[harvestcraft:gingerseeditem@0 - 'Ginger Seed' - <no NBT>]"
"seedGrape","[harvestcraft:grapeseeditem@0 - 'Grape Seed' - <no NBT>]"
"seedGreengrape","[harvestcraft:greengrapeseeditem@0 - 'Green Grape Seed' - <no NBT>]"
"seedHops","[brewcraft:hopsseeditem@0 - 'Hops Seed' - <no NBT>]"
"seedHuckleberry","[harvestcraft:huckleberryseeditem@0 - 'Huckleberry Seed' - <no NBT>]"
"seedJicama","[harvestcraft:jicamaseeditem@0 - 'Jicama Seed' - <no NBT>]"
"seedJuniperberry","[harvestcraft:juniperberryseeditem@0 - 'Juniperberry Seed' - <no NBT>]"
"seedJute","[harvestcraft:juteseeditem@0 - 'Jute Seed' - <no NBT>]"
"seedKale","[harvestcraft:kaleseeditem@0 - 'Kale Seed' - <no NBT>]"
"seedKenaf","[harvestcraft:kenafseeditem@0 - 'Kenaf Seed' - <no NBT>]"
"seedKiwi","[harvestcraft:kiwiseeditem@0 - 'Kiwi Seed' - <no NBT>]"
"seedKohlrabi","[harvestcraft:kohlrabiseeditem@0 - 'Kohlrabi Seed' - <no NBT>]"
"seedLeek","[harvestcraft:leekseeditem@0 - 'Leek Seed' - <no NBT>]"
"seedLentil","[harvestcraft:lentilseeditem@0 - 'Lentil Seed' - <no NBT>]"
"seedLettuce","[xlfoodmod:lettuce_seeds@0 - 'Lettuce Seeds' - <no NBT>]; [harvestcraft:lettuceseeditem@0 - 'Lettuce Seed' - <no NBT>]"
"seedMelon","[minecraft:melon_seeds@0 - 'Melon Seeds' - <no NBT>]"
"seedMillet","[harvestcraft:milletseeditem@0 - 'Millet Seed' - <no NBT>]"
"seedMulberry","[harvestcraft:mulberryseeditem@0 - 'Mulberry Seed' - <no NBT>]"
"seedMustard","[harvestcraft:mustardseeditem@0 - 'Mustard Seed' - <no NBT>]"
"seedOats","[harvestcraft:oatsseeditem@0 - 'Oats Seed' - <no NBT>]"
"seedOkra","[harvestcraft:okraseeditem@0 - 'Okra Seed' - <no NBT>]"
"seedOnion","[xlfoodmod:onion@0 - 'Onion' - <no NBT>]; [harvestcraft:onionseeditem@0 - 'Onion Seed' - <no NBT>]"
"seedParsnip","[harvestcraft:parsnipseeditem@0 - 'Parsnip Seed' - <no NBT>]"
"seedPeanut","[harvestcraft:peanutseeditem@0 - 'Peanut Seed' - <no NBT>]"
"seedPeas","[harvestcraft:peasseeditem@0 - 'Peas Seed' - <no NBT>]"
"seedPineapple","[harvestcraft:pineappleseeditem@0 - 'Pineapple Seed' - <no NBT>]"
"seedPumpkin","[minecraft:pumpkin_seeds@0 - 'Pumpkin Seeds' - <no NBT>]"
"seedQuinoa","[harvestcraft:quinoaseeditem@0 - 'Quinoa Seed' - <no NBT>]"
"seedRadish","[harvestcraft:radishseeditem@0 - 'Radish Seed' - <no NBT>]"
"seedRaspberry","[harvestcraft:raspberryseeditem@0 - 'Raspberry Seed' - <no NBT>]"
"seedRhubarb","[harvestcraft:rhubarbseeditem@0 - 'Rhubarb Seed' - <no NBT>]"
"seedRice","[xlfoodmod:rice_seeds@0 - 'Rice Seeds' - <no NBT>]; [harvestcraft:riceseeditem@0 - 'Rice Seed' - <no NBT>]"
"seedRutabaga","[harvestcraft:rutabagaseeditem@0 - 'Rutabaga Seed' - <no NBT>]"
"seedRye","[harvestcraft:ryeseeditem@0 - 'Rye Seed' - <no NBT>]"
"seedScallion","[harvestcraft:scallionseeditem@0 - 'Scallion Seed' - <no NBT>]"
"seedSeaweed","[harvestcraft:seaweedseeditem@0 - 'Seaweed Seed' - <no NBT>]"
"seedSesameseed","[harvestcraft:sesameseedsseeditem@0 - 'Sesame Seeds Seed' - <no NBT>]"
"seedSisal","[harvestcraft:sisalseeditem@0 - 'Sisal Seed' - <no NBT>]"
"seedSoybean","[harvestcraft:soybeanseeditem@0 - 'Soybean Seed' - <no NBT>]"
"seedSpiceleaf","[harvestcraft:spiceleafseeditem@0 - 'Spice Leaf Seed' - <no NBT>]"
"seedSpinach","[harvestcraft:spinachseeditem@0 - 'Spinach Seed' - <no NBT>]"
"seedStrawberry","[xlfoodmod:strawberry_seeds@0 - 'Strawberry Seeds' - <no NBT>]; [harvestcraft:strawberryseeditem@0 - 'Strawberry Seed' - <no NBT>]"
"seedSweetpotato","[harvestcraft:sweetpotatoseeditem@0 - 'Sweet Potato Seed' - <no NBT>]"
"seedTaro","[harvestcraft:taroseeditem@0 - 'Taro Seed' - <no NBT>]"
"seedTea","[harvestcraft:teaseeditem@0 - 'Tea Seed' - <no NBT>]"
"seedTomatillo","[harvestcraft:tomatilloseeditem@0 - 'Tomatillo Seed' - <no NBT>]"
"seedTomato","[xlfoodmod:tomato_seeds@0 - 'Tomato Seeds' - <no NBT>]; [harvestcraft:tomatoseeditem@0 - 'Tomato Seed' - <no NBT>]"
"seedTurnip","[harvestcraft:turnipseeditem@0 - 'Turnip Seed' - <no NBT>]"
"seedWaterchestnut","[harvestcraft:waterchestnutseeditem@0 - 'Water Chestnut Seed' - <no NBT>]"
"seedWheat","[minecraft:wheat_seeds@0 - 'Seeds' - <no NBT>]"
"seedWhitemushroom","[harvestcraft:whitemushroomseeditem@0 - 'White Mushroom Spore' - <no NBT>]"
"seedWintersquash","[harvestcraft:wintersquashseeditem@0 - 'Winter Squash Seed' - <no NBT>]"
"seedZucchini","[harvestcraft:zucchiniseeditem@0 - 'Zucchini Seed' - <no NBT>]"
"shardEndLumium","[contenttweaker:material_part@450 - 'End Lumium Shard' - <no NBT>]"
"shardLumium","[contenttweaker:material_part@416 - 'Lumium Shard' - <no NBT>]"
"shardNetherLumium","[contenttweaker:material_part@433 - 'Nether Lumium Shard' - <no NBT>]"
"sheetAluminum","[libvulpes:productsheet@9 - 'Aluminum Sheet' - <no NBT>]"
"sheetCopper","[libvulpes:productsheet@4 - 'Copper Sheet' - <no NBT>]"
"sheetIron","[libvulpes:productsheet@1 - 'Iron Sheet' - <no NBT>]"
"sheetSteel","[libvulpes:productsheet@6 - 'Steel Sheet' - <no NBT>]"
"sheetTitanium","[libvulpes:productsheet@7 - 'Titanium Sheet' - <no NBT>]"
"sheetTitaniumAluminide","[advancedrocketry:productsheet@0 - 'Titanium Aluminide Sheet' - <no NBT>]"
"sheetTitaniumIridium","[advancedrocketry:productsheet@1 - 'Titanium Iridium Alloy Sheet' - <no NBT>]"
"shulkerBox","[minecraft:white_shulker_box@0 - 'White Shulker Box' - <no NBT>]; [minecraft:orange_shulker_box@0 - 'Orange Shulker Box' - <no NBT>]; [minecraft:magenta_shulker_box@0 - 'Magenta Shulker Box' - <no NBT>]; [minecraft:light_blue_shulker_box@0 - 'Light Blue Shulker Box' - <no NBT>]; [minecraft:yellow_shulker_box@0 - 'Yellow Shulker Box' - <no NBT>]; [minecraft:lime_shulker_box@0 - 'Lime Shulker Box' - <no NBT>]; [minecraft:pink_shulker_box@0 - 'Pink Shulker Box' - <no NBT>]; [minecraft:gray_shulker_box@0 - 'Gray Shulker Box' - <no NBT>]; [minecraft:silver_shulker_box@0 - 'Light Gray Shulker Box' - <no NBT>]; [minecraft:cyan_shulker_box@0 - 'Cyan Shulker Box' - <no NBT>]; [minecraft:purple_shulker_box@0 - 'Purple Shulker Box' - <no NBT>]; [minecraft:blue_shulker_box@0 - 'Blue Shulker Box' - <no NBT>]; [minecraft:brown_shulker_box@0 - 'Brown Shulker Box' - <no NBT>]; [minecraft:green_shulker_box@0 - 'Green Shulker Box' - <no NBT>]; [minecraft:red_shulker_box@0 - 'Red Shulker Box' - <no NBT>]; [minecraft:black_shulker_box@0 - 'Black Shulker Box' - <no NBT>]"
"shulkerShell","[minecraft:shulker_shell@0 - 'Shulker Shell' - <no NBT>]"
"silkycloth","[tconstruct:materials@15 - 'Silky Cloth' - <no NBT>]"
"skinBear","[betteranimalsplus:bear_skin_brown@0 - 'Brown Bear Skin' - <no NBT>]; [betteranimalsplus:bear_skin_black@0 - 'Black Bear Skin' - <no NBT>]; [betteranimalsplus:bear_skin_kermode@0 - 'Kermode Bear Skin' - <no NBT>]"
"skinBearBlack","[betteranimalsplus:bear_skin_black@0 - 'Black Bear Skin' - <no NBT>]"
"skinBearBrown","[betteranimalsplus:bear_skin_brown@0 - 'Brown Bear Skin' - <no NBT>]"
"skinBearKermode","[betteranimalsplus:bear_skin_kermode@0 - 'Kermode Bear Skin' - <no NBT>]"
"slab","[minecraft:stone_slab@0 - 'Stone Slab' - <no NBT>]"
"slabStone",""
"slabWood","[minecraft:wooden_slab@32767 - '(WILDCARD)' - <no NBT>]; [betternether:stalagnate_planks_slab_half@0 - 'Stalagnate Slab' - <no NBT>]; [betternether:reeds_slab_half@0 - 'Reeds Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@0 - 'Sacred Oak Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@1 - 'Cherry Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@2 - 'Umbran Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@3 - 'Fir Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@4 - 'Ethereal Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@5 - 'Magic Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@6 - 'Mangrove Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_0@7 - 'Palm Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@0 - 'Redwood Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@1 - 'Willow Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@2 - 'Pine Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@3 - 'Hellbark Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@4 - 'Jacaranda Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@5 - 'Mahogany Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@6 - 'Ebony Wood Slab' - <no NBT>]; [biomesoplenty:wood_slab_1@7 - 'Eucalyptus Wood Slab' - <no NBT>]; [pvj:willow_slab@0 - 'Willow Slab' - <no NBT>]; [pvj:mangrove_slab@0 - 'Mangrove Slab' - <no NBT>]; [pvj:palm_slab@0 - 'Palm Slab' - <no NBT>]; [pvj:redwood_slab@0 - 'Redwood Slab' - <no NBT>]; [pvj:fir_slab@0 - 'Fir Slab' - <no NBT>]; [pvj:pine_slab@0 - 'Pine Slab' - <no NBT>]; [pvj:aspen_slab@0 - 'Aspen Slab' - <no NBT>]; [pvj:maple_slab@0 - 'Maple Slab' - <no NBT>]; [pvj:baobab_slab@0 - 'Baobab Slab' - <no NBT>]; [pvj:cottonwood_slab@0 - 'Cottonwood Slab' - <no NBT>]; [pvj:juniper_slab@0 - 'Juniper Slab' - <no NBT>]; [pvj:cherry_blossom_slab@0 - 'Cherry Blossom Slab' - <no NBT>]; [pvj:jacaranda_slab@0 - 'Jacaranda Slab' - <no NBT>]"
"slimeball","[minecraft:slime_ball@0 - 'Slimeball' - <no NBT>]; [tconstruct:edible@1 - 'Slimeball' - <no NBT>]; [tconstruct:edible@2 - 'Slimeball' - <no NBT>]; [tconstruct:edible@3 - 'Coagulated Blood' - <no NBT>]; [tconstruct:edible@4 - 'Slimeball' - <no NBT>]; [tconstruct:edible@5 - 'Slimeball' - <no NBT>]; [quark:slime_bucket@0 - 'Slime in a Bucket' - <no NBT>]"
"slimeballBlood","[tconstruct:edible@3 - 'Coagulated Blood' - <no NBT>]"
"slimeballBlue","[tconstruct:edible@1 - 'Slimeball' - <no NBT>]"
"slimeballGreen","[minecraft:slime_ball@32767 - '(WILDCARD)' - <no NBT>]"
"slimeballMagma","[tconstruct:edible@4 - 'Slimeball' - <no NBT>]"
"slimeballPurple","[tconstruct:edible@2 - 'Slimeball' - <no NBT>]"
"slimecrystal","[tconstruct:materials@9 - 'Green Slime Crystal' - <no NBT>]; [tconstruct:materials@10 - 'Blue Slime Crystal' - <no NBT>]; [tconstruct:materials@11 - 'Magma Slime Crystal' - <no NBT>]"
"slimecrystalBlue","[tconstruct:materials@10 - 'Blue Slime Crystal' - <no NBT>]"
"slimecrystalGreen","[tconstruct:materials@9 - 'Green Slime Crystal' - <no NBT>]"
